Date	Time	Acetic Acid	Acetone	Ammonia	C2H2	C2H4	C3H6	CH4	CO	CO2	Cyclopentene	Ethanol	Formaldehyde	Formic Acid	Furan	Glycolaldehyde	H2O	HCl	HCN	Isobutylene	Methanol	Methyl Formate	Methylpropionate	N2O	Nitrous Acid	NO	NO2	Ozone	SO2
2016/03/04	13:32:48.228	4.4599	81.8666	0.4887	0.0000	0.2093	0.0315	1.7150	0.4140	813.9944	16.0704	0.0000	0.0000	0.2671	0.0000	1.4589	8579.0240	0.0000	1.3219	0.0705	0.4566	0.0569	1.2311	0.5093	1.2858	0.0000	49.2063	0.0000	0.2380
2016/03/04	13:32:57.773	0.8572	4.2190	0.5154	0.0000	0.2452	0.0000	1.7125	0.4294	781.2827	14.0723	0.0000	0.0000	0.0813	0.0000	1.0988	7335.2428	0.0000	1.5433	0.0433	0.4477	0.0399	1.2404	0.4777	1.6381	0.0000	51.6369	0.0000	0.3633
2016/03/04	13:33:08.000	1.8112	3.7076	0.5106	0.0000	0.2140	0.0086	1.7650	0.4114	756.8480	17.5061	0.0000	0.0077	0.2073	0.0000	0.9516	6874.8919	0.0000	1.1838	0.0000	0.3304	0.0672	1.3045	0.4608	1.2205	0.0000	48.7850	0.0000	0.9237
2016/03/04	13:33:23.594	1.3821	91.5486	0.4658	0.0000	0.1495	0.0074	1.7355	0.3555	795.7612	15.8818	0.0000	0.0000	0.2109	0.0000	1.6076	8186.4045	0.0000	1.0959	0.0000	0.3835	0.0597	1.2159	0.4672	0.9384	0.0000	50.9381	0.0000	0.6894
2016/03/04	13:33:32.955	1.9541	9.2351	0.5039	0.0000	0.1289	0.0081	1.7176	0.4207	794.5553	18.7235	0.0000	0.0331	0.1834	0.0000	2.3058	7455.3628	0.0000	1.3372	0.0000	0.3197	0.0233	1.3393	0.5155	1.0443	0.0000	51.0673	0.0000	0.2989
2016/03/04	13:33:43.430	2.6813	73.2447	0.5020	0.0000	0.1877	0.0000	1.7578	0.3814	816.4816	15.0219	0.0000	0.0031	0.1759	0.0000	1.2341	7516.5415	0.0000	1.6300	0.0590	0.4184	0.0655	1.2255	0.4601	1.3559	0.0000	47.5853	0.0000	0.7325
2016/03/04	13:33:59.343	2.2913	3.7136	0.5101	0.0000	0.1840	0.0171	1.7131	0.4374	815.0986	15.7485	0.0000	0.0077	0.2454	0.0000	1.1128	7632.5851	0.0000	1.0935	0.0000	0.4089	0.0487	1.2766	0.4713	1.3255	0.0000	48.8692	0.0000	0.6454
2016/03/04	13:34:13.674	1.2466	6.1843	0.5211	0.0000	0.1993	0.0195	1.6782	0.4145	771.1757	20.0128	0.0000	0.0000	0.1759	0.0000	0.8888	7682.2034	0.0000	1.6811	0.0833	0.3321	0.0008	1.2453	0.5086	0.9213	0.0000	49.9998	0.0000	0.8361
2016/03/04	13:34:27.715	1.3651	90.4249	0.4880	0.0000	0.2701	0.0249	1.7358	0.3502	806.1786	14.5975	0.0000	0.0000	0.1731	0.0000	1.7976	7404.8956	0.0000	1.2322	0.0694	0.3847	0.0800	1.2859	0.5055	0.9852	0.0000	56.1321	0.0000	0.5486
2016/03/04	13:34:37.157	1.4089	3.4836	0.4887	0.0000	0.2096	0.0131	1.7426	0.4201	806.0234	17.3561	0.0005	0.0000	0.2040	0.0000	1.0039	7626.9879	0.0000	1.5137	0.0588	0.3860	0.0286	1.2707	0.5148	0.9440	0.0000	52.9388	0.0000	0.5208
2016/03/04	13:34:54.176	2.7091	6.1508	0.5277	0.0000	0.2092	0.0096	1.6719	0.4013	801.8041	17.6970	0.0000	0.0000	0.2520	0.0000	1.8154	8097.2032	0.0000	1.3392	0.0274	0.4569	0.0809	1.2541	0.4823	1.2997	0.0000	50.3695	0.0000	0.8996
2016/03/04	13:35:09.886	4.3562	6.8350	0.4994	0.0000	0.1601	0.0000	1.6862	0.3894	820.6728	17.0010	0.0000	0.0000	0.3032	0.0000	1.4157	7859.1510	0.0000	0.8325	0.0000	0.4291	0.0438	1.3008	0.4757	1.4170	0.0000	49.5296	0.0000	0.4859
2016/03/04	13:35:19.336	1.2316	2.5137	0.4807	0.0000	0.0910	0.0387	1.7059	0.4144	798.1158	16.4513	0.0010	0.0066	0.1676	0.0000	1.5284	7677.5808	0.0000	1.1235	0.0000	0.4184	0.0570	1.1908	0.5328	1.2059	0.0000	46.1078	0.0244	0.6354
2016/03/04	13:35:29.025	1.0566	4.1287	0.5170	0.0000	0.2165	0.0218	1.6855	0.4346	783.0840	17.0050	0.0010	0.0000	0.1983	0.0000	1.5012	7804.3658	0.0006	1.6307	0.0000	0.4290	0.0953	1.2544	0.5088	1.1019	0.0000	53.1717	0.0445	0.1501
2016/03/04	13:35:38.386	2.6326	90.9788	0.5093	0.0000	0.1858	0.0093	1.7454	0.3680	783.4517	17.9547	0.0000	0.0000	0.2358	0.0000	1.4264	7934.4193	0.0000	1.2339	0.0359	0.4415	0.0514	1.2530	0.4747	1.3095	0.0000	48.0867	0.0254	0.6384
2016/03/04	13:35:52.427	0.5422	83.8621	0.4772	0.0000	0.2309	0.0155	1.7279	0.4176	794.6260	18.3446	0.0000	0.0000	0.1221	0.0005	1.4962	7260.2037	0.0000	1.4842	0.0000	0.4581	0.0872	1.2470	0.4673	1.1859	0.0000	52.4076	0.0000	0.9433
2016/03/04	13:36:01.880	1.0090	6.6152	0.4953	0.0000	0.2411	0.0098	1.7337	0.3681	789.8584	16.3854	0.0000	0.0005	0.2557	0.0000	1.7578	7795.2282	0.0000	1.0226	0.0054	0.3226	0.0430	1.2778	0.5064	1.2355	0.0000	53.0359	0.0000	1.0667
2016/03/04	13:36:11.241	2.8667	5.7170	0.5223	0.0000	0.1570	0.0007	1.7590	0.4416	782.0218	18.4647	0.0008	0.0000	0.1692	0.0000	1.7672	7575.1812	0.0000	1.2673	0.0114	0.3426	0.0153	1.2352	0.4669	1.1814	0.0000	50.8267	0.0000	0.4668
2016/03/04	13:36:21.526	1.1437	6.3613	0.4360	0.0000	0.2522	0.0000	1.6800	0.3220	780.2566	16.9592	0.0011	0.0000	0.1377	0.0000	1.6947	7899.9133	0.0000	1.1575	0.0000	0.3542	0.0504	1.2481	0.4887	1.1581	0.0000	49.2130	0.0000	0.9945
