Calibration Set: Toluene flaming 690_760 (0.5 1/cm 175C)

Spectral range: (690 -  760) 1/cm
C min:   0.0 ppm
C max: 500.0 ppm
Path length: 5.00 m

477:   477 ppm 2385.00 ppmm
478:   478 ppm 2390.00 ppmm
479:   479 ppm 2395.00 ppmm
480:   480 ppm 2400.00 ppmm
481:   481 ppm 2405.00 ppmm
482:   482 ppm 2410.00 ppmm
483:   483 ppm 2415.00 ppmm
484:   484 ppm 2420.00 ppmm
485:   485 ppm 2425.00 ppmm
486:   486 ppm 2430.00 ppmm
487:   487 ppm 2435.00 ppmm
488:   488 ppm 2440.00 ppmm
489:   489 ppm 2445.00 ppmm
490:   490 ppm 2450.00 ppmm
491:   491 ppm 2455.00 ppmm
492:   492 ppm 2460.00 ppmm
493:   493 ppm 2465.00 ppmm
494:   494 ppm 2470.00 ppmm
495:   495 ppm 2475.00 ppmm
496:   496 ppm 2480.00 ppmm
497:   497 ppm 2485.00 ppmm
498:   498 ppm 2490.00 ppmm
499:   499 ppm 2495.00 ppmm
500:   500 ppm 2500.00 ppmm
